address,baths,beds,date,price,area,geocode,lat,long
10 Parknamore Rise ,4,3,2021-07-28,285000,Parknamore,"51.88458744794133, -8.609309161051812",51.88458744794133,-8.609309161051812
Innisfree 56 Maple Lawn ,4,3,2021-07-28,299000,Muskerry Estate,"51.885514844369936, -8.596310161258103",51.885514844369936,-8.596310161258103
48 Willow Grove Coolroe Heights ,4,3,2021-07-28,315000,Coolroe,"51.885279789132504, -8.622716969745719",51.885279789132504,-8.622716969745719
48 The Close Coolroe Meadows ,4,3,2021-07-28,339000,Coolroe,"51.885279789132504, -8.622716969745719",51.885279789132504,-8.622716969745719
69 Coopers Grange Old Quarter ,4,3,2021-07-28,330000,Old Quarter,"51.89008441064981, -8.590014945710507",51.89008441064981,-8.590014945710507
23 The Stables Coolroe ,4,3,2021-07-28,250000,Coolroe,"51.885279789132504, -8.622716969745719",51.885279789132504,-8.622716969745719
45 Waltham Abbey Old Quarter ,4,3,2021-07-28,225000,Old Quarter,"51.89008441064981, -8.590014945710507",51.89008441064981,-8.590014945710507
20 Cranford Pines ,4,3,2021-07-28,280000,Beech Park,"51.884462825784524, -8.586660730369518",51.884462825784524,-8.586660730369518
32 Aylsbury Downs ,4,3,2021-07-28,245000,Aylsbury,"51.88284449037205, -8.620440916875388",51.88284449037205,-8.620440916875388
32 Aylsbury Downs ,4,3,2021-07-28,245000,Aylsbury,"51.88284449037205, -8.620440916875388",51.88284449037205,-8.620440916875388
2 Leesdale Drive ,4,3,2021-07-28,255000,Carrigrohane,"51.89118108080445, -8.570433423222292",51.89118108080445,-8.570433423222292
43 Beech Park ,4,3,2021-07-28,249500,Beech Park,"51.884462825784524, -8.586660730369518",51.884462825784524,-8.586660730369518
114 Rosewood Est ,4,3,2021-07-28,285000,Rosewood,"51.88865181082447, -8.575978970851866",51.88865181082447,-8.575978970851866
32 Coolroe Heights ,4,3,2021-07-28,295000,Coolroe,"51.885279789132504, -8.622716969745719",51.885279789132504,-8.622716969745719
17 The Heathers Classes Lake ,4,3,2021-07-28,290000,Classis Lake,"51.88586099008718, -8.62822296864587",51.88586099008718,-8.62822296864587
12 Glincool Gardens ,4,3,2021-07-28,310000,Maglin,"51.88135112776452, -8.59523805920491",51.88135112776452,-8.59523805920491
9 Rosewood Estate ,4,3,2021-07-28,295000,Rosewood,"51.88865181082447, -8.575978970851866",51.88865181082447,-8.575978970851866
118 An Caislean ,4,3,2021-07-28,280000,An Caislean,"51.88419579207018, -8.604721941977742",51.88419579207018,-8.604721941977742
4 Willow Drive Muskerry Estate ,4,3,2021-07-28,295000,Muskerry Estate,"51.885514844369936, -8.596310161258103",51.885514844369936,-8.596310161258103
118 Caisleán Way ,4,3,2021-07-28,280000,An Caislean,"51.88419579207018, -8.604721941977742",51.88419579207018,-8.604721941977742
21 Glincool Gardens ,3,3,2021-07-28,310000,Maglin,"51.88135112776452, -8.59523805920491",51.88135112776452,-8.59523805920491
37 Aisling Lawn ,3,3,2021-07-28,240000,Beech Park,"51.884462825784524, -8.586660730369518",51.884462825784524,-8.586660730369518
182 The Willows ,3,3,2021-07-28,275000,Carrigrohanebeg,"51.89309917070151, -8.580849757357647",51.89309917070151,-8.580849757357647
182 The Willows Carrigalee ,3,3,2021-07-28,275000,Carrigrohanebeg,"51.89309917070151, -8.580849757357647",51.89309917070151,-8.580849757357647
47 Churchview ,3,3,2021-07-28,260000,Church View,"51.88549636879165, -8.592625889887055",51.88549636879165,-8.592625889887055
Devair 47 Church View ,3,3,2021-07-28,260000,Town Center,"51.8878563321983, -8.600737381727024",51.8878563321983,-8.600737381727024
Station Road ,3,3,2021-07-28,250000,Town Center,"51.8878563321983, -8.600737381727024",51.8878563321983,-8.600737381727024
48 Beech Park ,3,3,2021-07-28,219500,Beech Park,"51.884462825784524, -8.586660730369518",51.884462825784524,-8.586660730369518
21 Church View Station Road ,3,3,2021-07-28,260000,Town Center,"51.8878563321983, -8.600737381727024",51.8878563321983,-8.600737381727024
The Willows Lisheens ,3,3,2021-07-28,365000,Carrigrohanebeg,"51.89309917070151, -8.580849757357647",51.89309917070151,-8.580849757357647
27 Barley Grove The Maltings ,3,3,2021-07-28,259500,The Maltings,"51.88503727921537, -8.591352822622822",51.88503727921537,-8.591352822622822
9 The Meadows West Village ,3,3,2021-07-28,255000,West Village,"51.88675485217772, -8.606397553304374",51.88675485217772,-8.606397553304374
24 An Caislean Close ,3,3,2021-07-28,259000,An Caislean,"51.88419579207018, -8.604721941977742",51.88419579207018,-8.604721941977742
18 The Brambles Classes Lake ,3,3,2021-07-28,385000,Classis Lake,"51.88586099008718, -8.62822296864587",51.88586099008718,-8.62822296864587
21 Aylsbury ,3,3,2021-07-28,320000,Aylsbury,"51.88284449037205, -8.620440916875388",51.88284449037205,-8.620440916875388
31 An Caislean Drive ,3,3,2021-07-28,249500,An Caislean,"51.88419579207018, -8.604721941977742",51.88419579207018,-8.604721941977742
Type E Heathfield Carriganarra ,3,3,2021-07-28,380000,Carriganarra,"51.88456579585057, -8.579854607281877",51.88456579585057,-8.579854607281877
"Coolroe, Ballincollig, Co. Cork
                ",3,3,2021-07-28,380000,Coolroe,"51.885279789132504, -8.622716969745719",51.885279789132504,-8.622716969745719
"36 Castlepark, Ballincollig, Ballincollig, Cork
                ",3,3,2021-07-28,225000,Castlepark,"51.88653927567583, -8.585310716875346",51.88653927567583,-8.585310716875346
"17 Coolroe Heights, Ballincollig, Cork City
                ",3,3,2021-07-28,295000,Coolroe,"51.885279789132504, -8.622716969745719",51.885279789132504,-8.622716969745719
10 Glincool Gardens ,3,3,2021-07-28,310000,Maglin,"51.88135112776452, -8.59523805920491",51.88135112776452,-8.59523805920491
24 The Stables Coolroe ,3,3,2021-07-28,260000,Coolroe,"51.885279789132504, -8.622716969745719",51.885279789132504,-8.622716969745719
